fecha_adquisicion,satelite,producto,tile,latitud,longitud,provincia,canton,parroquia,region_natural,fire_mask,confianza,max_frp,qa,archivo_origen
2022-06-10,TERRA,MOD14A1,Unknown,0.415763,-75.867389,No_encontrada,No_encontrado,No_encontrada,Amazonia,8,Media,5.8,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,0.415763,-75.861968,No_encontrada,No_encontrado,No_encontrada,Amazonia,8,Media,5.8,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,0.415763,-75.856547,No_encontrada,No_encontrado,No_encontrada,Amazonia,8,Media,5.8,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,0.150125,-76.138449,Sucumbios,Putumayo,Palma Roja,Amazonia,8,Media,7.9,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,0.150125,-76.133028,Sucumbios,Putumayo,Palma Roja,Amazonia,8,Media,7.9,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,0.12844,-76.095079,Sucumbios,Putumayo,Palma Roja,Amazonia,8,Media,5.4,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,0.12844,-76.089658,Sucumbios,Putumayo,Palma Roja,Amazonia,8,Media,8.3,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,0.085071,-76.149291,Sucumbios,Putumayo,Palma Roja,Amazonia,8,Media,6.2,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,0.07965,-76.149291,Sucumbios,Putumayo,Palma Roja,Amazonia,8,Media,6.2,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,-0.429942,-75.574646,Sucumbios,Cuyabeno,Cuyabeno,Amazonia,8,Media,5.9,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,-1.942452,-75.341535,No_encontrada,No_encontrado,No_encontrada,Amazonia,8,Media,10.5,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,-1.947873,-75.341535,No_encontrada,No_encontrado,No_encontrada,Amazonia,8,Media,10.5,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,-1.947873,-75.336113,No_encontrada,No_encontrado,No_encontrada,Amazonia,8,Media,8.0,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,-1.953294,-75.341535,No_encontrada,No_encontrado,No_encontrada,Amazonia,9,Alta,21.6,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,-2.143036,-75.433695,No_encontrada,No_encontrado,No_encontrada,Amazonia,8,Media,8.9,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,-2.598415,-76.376981,No_encontrada,No_encontrado,No_encontrada,Amazonia,8,Media,6.5,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,-2.690575,-76.545038,No_encontrada,No_encontrado,No_encontrada,Amazonia,8,Media,13.6,6,MODIS_FIRE_20220610_680.hdf
2022-06-10,TERRA,MOD14A1,Unknown,-2.690575,-76.539616,No_encontrada,No_encontrado,No_encontrada,Amazonia,8,Media,13.6,6,MODIS_FIRE_20220610_680.hdf
