time,lat,lon,SoilMoi0_10cm_inst,SoilMoi10_40cm_inst,RootMoist_inst,SoilTMP0_10cm_inst,Tair_f_inst,Rainf_tavg,Evap_tavg,SWdown_f_tavg,LWdown_f_tavg,Qs_acc,Qsb_acc,Qsm_acc,CanopInt_inst,provincia,canton
2020-01-01,-4.875,-79.125,21.580786,65.647095,317.80634,294.55844,290.81287,1.2797984e-05,1.8983197e-05,217.49097,392.83038,0.0006568145,0.0,0.0,0.062350806,Zamora Chinchipe,Chinchipe
2020-01-01,-4.625,-79.375,24.401552,76.06282,346.3008,290.7534,286.80515,1.2406855e-05,2.1245294e-05,245.27985,364.80814,0.0013598388,0.0021629033,0.0,0.058556452,Loja,Espíndola
2020-01-01,-4.625,-79.125,23.39604,71.48102,393.45187,291.6051,287.83893,1.23721775e-05,2.1492875e-05,222.22214,374.64145,0.0011458871,0.0,0.0,0.056258064,Zamora Chinchipe,Palanda
2020-01-01,-4.625,-78.875,34.587513,104.08565,691.3009,290.55234,289.35428,4.642984e-05,2.8629165e-05,171.9114,366.3838,0.02815766,0.09214008,0.0,0.10222984,Zamora Chinchipe,Nangaritza
2020-01-01,-4.375,-80.375,17.77433,53.382664,157.47046,303.03128,299.9557,3.357258e-06,3.1803752e-06,237.15549,409.74014,0.00029709676,0.0006728226,0.0,0.007346774,Loja,Zapotillo
2020-01-01,-4.375,-79.875,15.88329,56.097103,205.71474,298.1574,294.26715,1.2515323e-05,1.36646495e-05,248.44476,406.8146,0.0010302016,0.0010192338,0.0,0.04344355,Loja,Macará
2020-01-01,-4.375,-79.625,18.05225,57.97639,192.68277,296.32922,292.34982,1.35754035e-05,1.759973e-05,250.76237,394.0,0.0014172983,0.0030592743,0.0,0.0461371,Loja,Calvas
2020-01-01,-4.375,-79.375,17.955412,54.639896,196.90976,294.1268,290.43558,1.3189516e-05,1.9296102e-05,245.71892,382.46616,0.0018016129,0.00213875,0.0,0.04578629,Loja,Quilanga
2020-01-01,-4.375,-79.125,24.768883,76.04933,450.29074,290.69858,287.1211,1.2263709e-05,2.2525133e-05,229.88205,368.99667,0.0010554838,0.0,0.0,0.05931855,Loja,Loja
2020-01-01,-4.375,-78.875,28.84902,86.8105,575.4474,289.5516,288.08142,4.6515725e-05,2.6256585e-05,176.05342,357.77698,0.022617985,0.12653992,0.0,0.103387095,Zamora Chinchipe,Nangaritza
2020-01-01,-4.125,-80.375,18.066702,54.192646,190.38133,301.9053,298.73907,3.882258e-06,3.5327946e-06,227.8135,405.96222,0.0003231855,0.00081383064,0.0,0.010887097,Loja,Zapotillo
2020-01-01,-4.125,-80.125,13.4338665,44.451317,112.79811,298.82285,296.15637,4.758871e-06,5.161424e-06,203.22726,394.15024,0.00010899194,0.0006,0.0,0.020649193,Loja,Pindal
2020-01-01,-4.125,-79.875,18.268686,58.917694,222.99615,296.75253,292.9059,1.3656451e-05,1.6252956e-05,237.49129,402.22137,0.0006389516,0.0016636694,0.0,0.06432258,Loja,Paltas
2020-01-01,-4.125,-79.625,18.020613,56.71302,211.23071,296.41718,292.44498,1.392258e-05,1.8393279e-05,255.84515,394.7848,0.0016279032,0.0018936694,0.0,0.059125,Loja,Paltas
2020-01-01,-4.125,-79.375,18.564415,56.108154,203.72487,294.2254,290.78812,1.3912097e-05,1.9246505e-05,238.37036,384.81976,0.001462379,0.0025417742,0.0,0.05810484,Loja,Gonzanamá
2020-01-01,-4.125,-79.125,18.696089,55.589584,305.23193,291.8188,288.50446,1.2500806e-05,2.0939246e-05,226.91693,375.60004,0.00086181454,8.645161e-05,0.0,0.06316935,Zamora Chinchipe,Zamora
2020-01-01,-4.125,-78.875,28.600431,85.95125,568.2816,291.3489,290.15433,4.6286692e-05,2.962957e-05,182.20331,366.0022,0.011583025,0.10530133,0.0,0.11193952,Zamora Chinchipe,Zamora
2020-01-01,-4.125,-78.625,28.76527,86.50096,571.7888,292.74756,291.65057,5.374637e-05,3.0428762e-05,174.36815,377.50027,0.017071372,0.116309434,0.0,0.11083064,Zamora Chinchipe,Nangaritza
2020-01-01,-3.875,-80.125,12.545952,44.133736,136.43532,300.08475,297.29327,4.796371e-06,5.4642464e-06,236.08774,392.15817,0.00015927419,0.0011154033,0.0,0.019528225,El Oro,Las Lajas
2020-01-01,-3.875,-79.875,18.638624,59.152985,210.32481,297.85858,294.5366,1.7143548e-05,1.4167472e-05,208.43008,411.05173,0.0019179436,0.0031306855,0.0,0.068314515,Loja,Paltas
2020-01-01,-3.875,-79.625,17.409105,53.200912,169.51051,296.66193,293.55307,1.6885484e-05,1.5263036e-05,211.17996,401.89456,0.0020514112,0.00079100806,0.0,0.06885484,Loja,Chaguarpamba
2020-01-01,-3.875,-79.375,19.44707,58.91125,194.17279,292.37186,289.2979,1.6547581e-05,1.652473e-05,208.70338,375.3282,0.0018223791,0.007315766,0.0,0.06658468,Loja,Loja
2020-01-01,-3.875,-79.125,19.431665,57.46987,315.69217,289.48596,286.68893,1.5563306e-05,1.8957795e-05,198.85141,362.8783,0.0016077016,0.00032774193,0.0,0.07206048,Zamora Chinchipe,Zamora
2020-01-01,-3.875,-78.875,27.778973,83.28411,547.35626,290.9668,289.80353,4.2105243e-05,3.0701343e-05,179.0452,365.9324,0.0076784273,0.05963496,0.0,0.10094355,Zamora Chinchipe,Zamora
2020-01-01,-3.875,-78.625,28.131084,84.435486,555.30743,293.1206,291.9982,4.855766e-05,3.1077954e-05,174.83194,382.75443,0.012193024,0.07364617,0.0,0.09262903,Zamora Chinchipe,Yantzaza
2020-01-01,-3.625,-80.125,9.486242,36.16465,94.88475,302.6166,299.97156,3.6173387e-06,6.3989237e-06,250.86601,408.3534,0.00013741935,0.0016043145,0.0,0.010415322,El Oro,Arenillas
2020-01-01,-3.625,-79.875,16.116617,54.40838,238.47345,299.97357,296.98645,1.5981048e-05,1.4047311e-05,203.70245,425.94846,0.0019981049,0.00033741936,0.0,0.048189517,El Oro,Piñas
2020-01-01,-3.625,-79.625,18.13011,57.411594,209.94621,294.41687,291.176,1.6387097e-05,1.228965e-05,210.615,388.15988,0.0018609274,0.0008710081,0.0,0.06808871,El Oro,Zaruma
